Model,Val Accuracy,Val Bal Acc,Val Macro P,Val Macro R,Val Macro F1,Val Kappa,Train Time (s),Infer Time (s)
Majority Baseline,50.16,50.0,0.2508,0.5,0.334,0.0,0.032,0.0001
PSD + LDA,56.51,56.53,0.5671,0.5653,0.5623,0.1306,8.968,0.0008
CSP + LDA,56.67,56.67,0.5668,0.5667,0.5666,0.1334,27.776,0.0574
CSP + SVM,57.94,57.9,0.5829,0.579,0.5743,0.1582,20.102,0.1085
PSD + Random Forest,58.1,58.08,0.5817,0.5808,0.5797,0.1616,12.258,0.0168
PSD + KNN,50.63,50.62,0.5063,0.5062,0.505,0.0124,8.948,0.1467
CNN Baseline,78.57,78.58,0.7867,0.7858,0.7856,0.5715,81.429,0.2129
CNN-LSTM,51.75,51.75,0.5175,0.5175,0.5173,0.035,124.197,0.353
